name,AngelList_website,tagline
aDealio,https://angel.co/company/adealio,Advertising to Local Consumers
140Fire.com,https://angel.co/company/140fire-com,Mark Cuban backed 140Fire is the fastest growing video ad tech company of 2011
Rise Art,https://angel.co/company/rise-art,"Contemporary Art, Hand-Picked by Experts"
Intiza,https://angel.co/company/intiza,Efficiently manage your receivables
140Fire,https://angel.co/company/140fire,
AKSEL PARIS,https://angel.co/company/aksel-paris,
WePlann,https://angel.co/company/weplann,WePlann - The Easiest Way for the LatAm Tourist to Discover & Book Vacation Activities
iCracked,https://angel.co/company/icracked,"On-demand repair, re-sell service for smart devices. 1,700+ iTechs across the U.S."
Floodlight,https://angel.co/company/floodlight,Build a beautiful media kit for your site in minutes.
SubtleData,https://angel.co/company/subtledata,"API for all POS systems, enabling local commerce"
Blank Label,https://angel.co/company/blank-label,When Custom Disrupts Off-the-Rack
KidAdmit,https://angel.co/company/kidadmit,Giving your kids every opportunity
Sweetspot,https://angel.co/company/sweetspot-intelligence,Omnichannel Intelligence
Quest,https://angel.co/company/quest,Answers for everyone.
Baremetrics,https://angel.co/company/baremetrics,Revenue Analytics Platform
ROCKI,https://angel.co/company/rocki,Wireless Audio Platform for Manufacturers
Apptuto,https://angel.co/company/apptuto,"Gamified, personalized learning platform for standardized tests"
Podium,https://angel.co/company/repdrive,Become the most trusted business in your area.
Up All Night,https://angel.co/company/upallnight,AI powered personal concierge for events
Forestry.io,https://angel.co/company/forestry-io,The CMS for the next generation of sites
Fashiolista,https://angel.co/company/fashiolista,Community for fashion inspiration with over 1.2M members worldwide
Tradesparq,https://angel.co/company/tradesparq,The world's largest social network for global trade. Think Alibaba.com meets Linkedin. 
WhiteyBoard,https://angel.co/company/whiteyboard,"if you can jot it, we got it."
Mentimeter,https://angel.co/company/mentimeter,Interactive presentation software - make presentations and meetings fun and interactive
1000 Markets,https://angel.co/company/1000-markets,
Sooqini,https://angel.co/company/sooqini,The UK's Task Marketplace for Small Businesses
FlyOtto,https://angel.co/company/openairplane,"Matching travelers with pilots and planes, on-demand."
SMASHsolar,https://angel.co/company/smashsolar,making solar a snap to install
Boardwalktech,https://angel.co/company/boardwalktech,
Eventifier,https://angel.co/company/eventifier,Smartest way to archive your Events
ShoppinPal,https://angel.co/company/shoppinpal,Real-time retail data platform
Tanaza,https://angel.co/company/tanaza,Cloud-managed Wi-Fi for everyone
OFI,https://angel.co/company/ofi-com,B2B tech E-commerce
Tape,https://angel.co/company/tapeapp,Citizen Video Journalism App
HashRabbit,https://angel.co/company/hashrabbit,Operating System for Blockchains
en*theos,https://angel.co/company/en-theos,
CodePicnic,https://angel.co/company/codepicnic,"Full-Stack code playgrounds. Your code, to go."
Qishidai,https://angel.co/company/qishidai-1,Mobile customer service and management platform
Amberjack,https://angel.co/company/amberjackoutfitters,Connecting the world of outdoor sports.
Melodics,https://angel.co/company/melodics,Future musical instrument learning
Penango,https://angel.co/company/penango,"Effortless end-to-end secure e-mail in webmail, for enterprises"
FoldiMate,https://angel.co/company/foldimate,Robotic laundry folder: designed to save marriages around the world!
TripFab,https://angel.co/company/tripfab-1,Be your own travel agent. 
Needish,https://angel.co/company/needish,
MyMela,https://angel.co/company/mymela,
Visibli,https://angel.co/company/visibli,
Guides,https://angel.co/company/guides-co,A platform for individuals and teams to evolve knowledge
Brideside,https://angel.co/company/brideside,Concierge-Driven E-Commerce Platform
SweatGuru,https://angel.co/company/sweatguru,Bringing people together around fitness 
Elevate,https://angel.co/company/elevate,"SaaS Customer Feedback Programs for Restaurants, Retailers and Hotels."
Bubbl,https://angel.co/company/bubbl-3,Fan Interaction Tech for Online Video
Lumotune,https://angel.co/company/lumotune,Enabling Digital Marketing on Glass.
ArgoPay,https://angel.co/company/argopay,Credit card network reinvented for mobile
Codeity (Acquired by AngelHack 2015),https://angel.co/company/codeity,Talent Sourcing and Matching Platform
jamtok,https://angel.co/company/jamtok-1,jamtok brings the world together with music and language
Wine Awesomeness,https://angel.co/company/wine-awesomeness,eCommerce Wine Subscription
AppVirality,https://angel.co/company/appvirality,Plug n Play Growth Hacking Toolkit For Mobile Apps
FND,https://angel.co/company/fnd,Reimagining Mobile Search
