,NAME,COHORT,DESCRIPTION
0,Actiondesk,s2019,Google Sheets meets Zapier. Actiondesk lets non technical teams build powerful automations using only their spreadsheet skills.
1,Apero Health,s2019,Modern medical billing.
2,Asayer,s2019,Asayer is a session replay tool for developers. Replay each user session alongside your front/backend logs and other data spread across your stack so you never miss out on bugs.
3,Axite Labs,s2019,Axite Labs creates investment vehicles for directly funding primary scientific research.
4,Binks,s2019,"Binks is a modern online clothing store for Indian women. Women take a picture of themselves, answer a couple of questions, after which anything they buy from Binks is tailor-made to perfectly fit their bodies."
5,Breadfast,s2019,Breadfast delivers fresh bread and breakfast products to customers' doorsteps every morning.
6,Carry,s2019,"Carry plans, books, and supports corporate travel for all your employees over Slack, email, and SMS. We provide an executive assistant for travel so that employees never have to be stuck on the phone with an airline again."
7,Cloosiv,s2019,Cloosiv is an order-ahead app for independent coffee shops.
8,Covela,s2019,The digital insurance broker for SMEs in LATAM
9,Cuboh,s2019,"Cuboh helps restaurants use several delivery platforms like Doordash, Postmates, UberEats, and more by bringing them all to one system (ours), and integrating it with POS systems."
10,Curtsy,s2019,Curtsy is an app that lets women rent dresses from each other.
11,Data Mechanics,s2019,"We automate performance tuning for Apache Spark, making our customers data pipelines 2x more stable and performant."
12,Draftbit,s2019,"Draftbit is a new way to visually build cross-platform, native iOS and Android apps."
13,EARTH AI,s2019,"EARTH AI is the world’s most efficient mineral explorer, we find new deposits of metals worth $10-100M, 12X faster and 750X cheaper than competition, through AI mineral targeting system that's 50x more precise and 5X cheaper in house field operations"
14,Elpha,s2019,Where women in tech talk candidly online
15,FeaturePeek,s2019,"Front-end review for the whole team. For every pull request, FeaturePeek automatically spins up a dedicated environment with commenting, screenshotting, and bug filing tools overlaid on top."
16,Flo Recruit,s2019,"Flo Recruit builds recruiting event management software so that recruiters can eliminate paper resumes, build a talent pipeline, gather employee feedback on candidates, and optimize their events."
17,Flux QR,s2019,Payments platform that enables QR payments at the point of sale
18,Gmelius,s2019,Gmelius transforms Gmail into a collaborative workspace.
19,Gold Fig Labs,s2019,Version Control For Settings Pages
20,GradJoy (formerly Forward),s2019,GradJoy manages your student loans — helping you save money and be debt-free faster.
21,Hatchways,s2019,Launching the tech careers for the self-taught generation.
22,Hey Healthcare,s2019,Hey Healthcare makes it painless for healthcare providers to take insurance by delivering medical billing services through a user-friendly app.
23,Hutsy,s2019,Tech real estate brokerage for the next generation of home buyers
24,Hype and Vice,s2019,Fashionable college branded apparel for women.
25,InEvent,s2019,Event driven sales software for enterprise
26,Intersect Labs,s2019,Make predictions from your spreadsheet using machine learning. Here's a demo: http://youtube.com/watch?v=JlmuFSrS6ng
27,Kraftful,s2019,Delightful mobile apps for the smart home
28,LAIKA,s2019,The omni-channel one-stop shop for pets with over 4000 products & 20 services for LATAM.
29,Legacy,s2019,Legacy is the Fatherhood Company
30,LineLeap,s2019,"LineLeap is the one stop shop for all nightlife purchases including fast passes to skip the line, pre-ordered discounted drink specials, general admission tickets, and VIP table/bottle service."
31,Lofty AI,s2019,We help people buy homes with Zero risk.
32,Mars Auto,s2019,Autonomous trucks for cargo transport
33,Matagora Inc.,s2019,API enabling instant physical storefront for any online brand
34,Million Marker,s2019,23andMe for environmental exposures
35,Mindset Health,s2019,"Mindset Health is replacing drugs with app-based hypnotherapy. We help people improve issues like irritable bowel syndrome, anxiety & depression with app-delivered hypnotherapy, produced by world-class experts."
36,Mipos.dev,s2019,The first POS in Latam that let restaurants merge their online and traditional operations
37,Mudafy,s2019,Compass for Latin America.
38,Multis,s2019,"Multis is the bank for companies with crypto. They can manage and spend it with their team, and earn interest up to 15% p.a."
39,MyPetrolPump,s2019,"On demand gas delivery to trucks, cars and generators in India"
40,NODE,s2019,"Radically sustainable homes, next generation assembly."
41,Nomad Moments,s2019,"Nomad is the first commission free rideshare service. Instead of a 40% commission (like Uber and Lyft), our drivers make 20% more, while riders pay 20% less. Nomad then monetizes on a monthly subscription, advertisements, and in-car vending machines."
42,Outtalent,s2019,We help great engineers from developing countries get jobs abroad at tech companies like Google.
43,PayMongo,s2019,Stripe for the Philippines
44,Pepper,s2019,"Nutrition APIs that help health, food, insurance, and technology companies build better user experiences"
45,Percept.AI,s2019,AI support agent for your business that actually works
47,Prenda,s2019,Open a K-8 microschool anywhere
48,Prolific,s2019,Quickly find research participants you can trust. Launch your survey to tens of thousands of trusted participants in minutes. Recruit niche or representative samples on-demand.
49,Rent The Backyard,s2019,"Rent the Backyard builds studio apartments in Bay Area backyards and rents them out. Rent the Backyard pays for the apartment and splits the rent with homeowners who can make more than $20,000/year."
50,Revel,s2019,"Revel is a marketplace for women over 50 to host and attend small, local gatherings on topics of their choice."
51,Stoic.,s2019,Mental health tracker app.
52,Tandem,s2019,"An app that acts as a virtual office for remote and distributed teams. You can see who's online, what they're working on, talk in one-click, and collaborate on apps / documents."
53,The Custom Movement,s2019,Custom sneakers by independent artists.
54,Together Software,s2019,Enterprise SaaS to run an internal employee mentoring program that creates a supportive career development experience.
55,Tranqui Finanzas,s2019,We help employees in Latin America get out of debt and start saving through financial planning and education that is cost and risk free.
56,Trella,s2019,"Trella is a platform that connects shippers to carriers. Trella offers services and technology to empower drivers, improve their efficiency, boost their earnings and utilization as well as creating job opportunities."
57,Valiu,s2019,International money transfers for migrants in LatAm.
58,Wasmer,s2019,Universal Computing Platform based on WebAssembly
59,Well Principled,s2019,Well Principled is an A.I. Management Consultant that optimizes marketing and supply chain processes for retail and CPG brands with loyalty data or eCommerce sales.
60,Wren,s2019,Wren lets individuals and companies offset their carbon emissions through a monthly subscription
61,AccioJob,w2019,AccioJob is a college job board in India where universities sign up to expose their students to the best companies.
