Organization Name,Organization Name URL,Categories,Description,Full Description
IRIS Software Group,https://www.crunchbase.com/organization/iris-software-group,"Enterprise Software, SaaS, Software, Software Engineering, Web Development",IRIS Software Group is a UK-based enterprise software provider.,"IRIS is the UK's largest private software house supplying business management solutions to over 60,000 customers, from start-ups to large organisations."
IronSource,https://www.crunchbase.com/organization/ironsource,"App Discovery, App Marketing, Apps, Desktop Apps, Mobile Advertising, Mobile Apps, Mobile Devices",IronSource designs engagement and analytical tools that empowers mobile and digital businesses.,"IronSource operates a platform for software discovery, distribution, and delivery across platforms and devices. It offers InstallCore, a digital content delivery platform that increases completed installs, decreases download time, and improves the user install experience while providing publishers in-depth installation analytics and optimized traffic monetization, DisplayCore that offers performance-based display distribution, MobileCore, a distribution performance network for mobile applications, and MediaCore that optimizes media acquisition for the platforms.  IronSource serves developers, carriers, device manufacturers, and brands. Arnon Harish, Eyal Milrad, Gil Shoham, Itay Milrad, Nethanel Shadmi, Omer Kaplan, Roi Milrad, Tamir Carmi, and Tomer Bar Zeev founded the company in 2009, with its headquarters in Tel Aviv in Israel and business development offices in New York City and San Francisco in the United States and Beijing in China."
IRL - Social Calendar,https://www.crunchbase.com/organization/irl-app,"Apps, Mobile Apps, Social, Social Media, Social Network",IRL App is a social planning application that keeps users connected with each other.,"IRL App is a social planning application that keeps users connected with each other. It is an app that makes it easy and fun to send and receive invites to hang out with friends in real life. The app also features a series of suggestions for invites that users can send, which change regularly based on users’ interests or location, seasons, and upcoming holidays. IRL allows users to anonymously nominate friends for things that the friends are good at. IRL App's goal is to offer a place to discover things and allow users to do those things with other people. The company was founded on 2017 and is headquartered in San Francisco, California."
IRI,https://www.crunchbase.com/organization/iri,"Analytics, Consumer, Delivery, Digital Media, E-Commerce, Finance, Health Care, Market Research, Predictive Analytics, Price Comparison, Retail, Social Media",IRI is a Market research company specialized in development of big data and predictive analytics solutions.,"IRI is a leader in delivering powerful market, consumer and media exposure information, predictive analytics and the foresight that leads to action. We go beyond the data to ignite extraordinary growth for our clients in the CPG, retail and over-the-counter health care industries by pinpointing what matters and illuminating how it can impact their businesses. Move your company forward at www.iriworldwide.com/."
iRhythm Technologies,https://www.crunchbase.com/organization/irhythm,"Biotechnology, Health Care, Health Diagnostics, Medical Device",iRhythm Technologies provides diagnostic monitoring solutions that facilitate the early diagnosis and treatment of cardiac arrhythmia.,"iRhythm provides innovative and cost-effective diagnostic monitoring solutions that facilitate early diagnosis and treatment decisions, with the goal of ultimately improving patient health outcomes and reducing wasteful healthcare spending. Its flagship product, the Zio® Patch, is designed to optimize and simplify the diagnosis of cardiac arrhythmias. Zio® Patch is the smallest, lightest, least conspicuous cardiac arrhythmia diagnostic available and is indicated for up to 14-day monitoring."
Iris Nova,https://www.crunchbase.com/organization/iris-nova,"Consumer Goods, Food and Beverage",Iris Nova is a beverage company which sells directly to consumers,"We believe the future of the beverage industry will be built through direct communication with customers. Our proprietary, first-to-market tech platform offers a frictionless ordering and customer service experience, featuring beverages tailored to meet the needs of the modern consumer. Conversational Commerce (cCommerce) blends natural conversation and consumption data, giving us a powerful ability to formulate and deliver innovative beverage products without the shelf-space constraints that currently plague the traditional beverage industry.  We introduced this innovative sales model in 2015 with the launch of our first brand, DIRTY LEMON.  Since that time, our portfolio has expanded to include an experiential retail property, The Drug Store. Two additional beverage brand concepts will be launched in 2019. Iris Nova , Latin for “new lens,” is a nod to looking at the industry with a refreshed perspective and a renewed sense of opportunity."
iROKOtv,https://www.crunchbase.com/organization/irokotv,"Digital Media, Film, TV",iROKOtv is a web-based platform that provides free and paid-for Nigerian films on-demand.,"iROKOtv is a web platform that provides free and paid-for Nigerian films on-demand. It is the largest, legal online distributor of Nollywood films, with a library of more than 5,000 movies. Its users can watch its on-demand movies simply by registering with iROKOtv via [Facebook](http://www.crunchbase.com/organization/facebook) or email. iROKOtv works with Nollywood royalty including Tonto Dikeh, Funke Akindele, and Mr. Ibu, as part of an active ambassador program to promoting the awesomeness of Nollywood to new and existing audiences."
IrisVR,https://www.crunchbase.com/organization/irisvr-inc,"3D Technology, Architecture, Augmented Reality, Construction, Mechanical Engineering, Virtual Reality","IrisVR enables digital prototyping of physical space, allowing the most complex decisions to be made at human scale.","IrisVR is the leading software for immersive design review and collaboration in virtual reality. It is used by BIM and VDC teams, design firms, and engineers who coordinate 3D models and implement design and construction processes. Because IrisVR integrates with Revit, Rhino, Navisworks, SketchUp, and other 3D tools out of the box, you can instantly create an immersive VR experience that allows you to present to clients and work more effectively with your team.  IrisVR offers a desktop product called Prospect that works with the HTC Vive and Oculus Rift, as well as a mobile product called Scope that is compatible with the Samsung GearVR, Google Daydream, and Cardboard. Both products are available for free evaluation at www.irisvr.com."
Iron Mountain,https://www.crunchbase.com/organization/iron-mountain,"Big Data, E-Commerce, Security",Iron Mountain provides online backup and data protection.,"Iron Mountain Incorporated provides information protection and storage, and related services for various media in North America, Europe, Latin America, and Asia Pacific. The company's services comprise records management, data protection and recovery, and information destruction. The records management services include records management program development and implementation to help customers comply with specific regulatory requirements; implementation of policy-based programs that feature secure storage for media consisting of paper, flexible retrieval access, and retention management; digital archiving and related services for secure long-term archiving of electronic records; and specialized services for vital records and regulated industries, such as healthcare, energy, and financial services. The data protection and recovery services comprise disaster preparedness, planning, support and secure, and off-site vaulting of data backup media for data recovery in the event of a disaster, human error, or virus; online backup and recovery solutions for desktop and laptop computers and remote servers; and technology escrow services to protect and manage source code and other proprietary information. The information destruction services include secure shredding services; and DataDefense, which provides automatic and intelligent encryption of sensitive PC data. The company also sells corrugated cardboard storage cartons; and provides consulting, facilities management, fulfillment, and other outsourcing services. It serves commercial, legal, banking, healthcare, accounting, insurance, entertainment, and government organizations. The company was founded in 1951 and is headquartered in Boston, Massachusetts."
Iris Automation,https://www.crunchbase.com/organization/iris-automation-inc,"Artificial Intelligence, Computer Vision, Drones, Industrial, Robotics",Iris Automation is an artificial intelligence and safety avionics company building collision-avoidance systems for autonomous vehicles.,"Iris Automation is an artificial intelligence and safety avionics company building collision-avoidance systems for autonomous vehicles, such as industrial drones. In 2019, the company launched Casia – the first commercialization of Iris' core computer vision technology. The ultra light, hardware and software solution gives Unmanned Aircraft System (UAS) makers and operators an all-in-one, turnkey solution for Beyond Visual Line of Sight (BVLOS) operations.  Casia detects other aircraft, uses machine learning to classify them, makes intelligent decisions about the threat they may pose and triggers automated maneuvers to avoid collisions. By enabling UAS to fly BVLOS, Iris is the critical missing piece that takes commercial drone operations from theoretical to functional.  The company is based in San Francisco and Reno-Tahoe and is led by a team with experience at NASA and Boeing, among other organizations, and with PhDs in computer vision.  https://www.youtube.com/watch?v=LlHE4zIV1Jg"
Ironwood Pharmaceuticals,https://www.crunchbase.com/organization/ironwood-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Ironwood Pharmaceuticals, an entrepreneurial pharmaceutical company, develops drugs for gastrointestinal and cardiovascular diseases.","Ironwood Pharmaceuticals, Inc., an entrepreneurial pharmaceutical company, engages in developing and marketing human medicines. It engages in developing a pipeline of clinical candidates in the areas of gastrointestinal diseases, cardiovascular diseases, pain, and inflammation. The company's operationally independent subsidiary, Microbia Inc., engages in developing and commercializing bioprocesses for use in pharmaceuticals, foods, and specialty and industrial chemicals. Ironwood Pharmaceuticals, Inc. was formerly known as Microbia, Inc. The company was founded in 1998 and is headquartered in Cambridge, Massachusetts."
Ironhack,https://www.crunchbase.com/organization/ironhack,"Education, UX Design, Web Development","Ironhack is an international tech and design school that believes the best way to learn how to do something, is by actually doing it.","Ironhack is a global school offering full time and part time courses in Web Development and UX/UI design. Ironhack was ranked as the #2 student-rated coding and design bootcamp in the world by national rating site Switch Up. Since 2013, with campuses in Miami, Madrid, Barcelona, Paris, Mexico City & Berlin, Ironhack has graduated over 2,000+ students who are building their careers at global companies like Google, Visa, and Twitter. Ironhack was founded by Gonzalo Manrique and Ariel Quinones and is headquartered in Miami."
