Organization Name,Organization Name URL,Categories,Full Description
Xiaomi,https://www.crunchbase.com/organization/xiaomi,"Consumer Electronics, Internet, Mobile","Xiaomi Inc. manufactures and distributes mobile phones and consumer electronics. The company also develops mobile applications. Xiaomi targets the lower-middle market and has gained a loyal fan base by incorporating user feedback into the design of its latest sets and Android skins. It offers internet value-added products including TV boxes, backpacks, phone screen protectors, earphones, and more. Its products include Redmi, an Android smartphone; MIUI ROM, a customizable ROM; MiTalk, a messaging application; Mi TV, a 3D television; MiBox, a set-top box; MIUI, an operating system; MiWiFi, a network router; MiPower Bank, an external battery; and more. Xiaomi Inc. was founded in April 2010 and is based in Beijing, China."
Xero,https://www.crunchbase.com/organization/xero,"Accounting, Banking, Billing, Collaboration, Finance, FinTech, Personal Finance, SaaS, Software","Xero is a suite of online accounting software for small businesses, accountants, and bookkeepers. It enables its users to track and manage cash flow processes, invoicing, payments, reporting, and pay runs. Users can use Xero through any one of its three monthly subscription packages: starter, standard, and premium. The software solution is available on iOS and Android platforms. Founded in 2006, the company is headquartered in Wellington, Wellington, New Zealand."
Xometry,https://www.crunchbase.com/organization/xometry,"3D Printing, Industrial Engineering, Manufacturing","Xometry creates proprietary technology to provide pricing for the optimal manufacturing solution at the best price. It helps grow domestic manufacturing of the U.S. by using software that builds robust and scalable manufacturing platform which gives users the efficient way to get custom parts. Their range of capabilities include CNC machining, 3D printing, sheet metal and urethane casting, and customers can order them anytime. The customers of the company are TOYOTA, NASA, CATERPILLAR, and Medtronic. Xometry was founded by Randy Altschuler in 2013 and the company is situated in the United States."
Xiaohongshu,https://www.crunchbase.com/organization/xiaohongshu,"E-Commerce, Mobile, Mobile Apps, Shopping","Xiaohongshu is a young lifestyle sharing platform to share positive energy and good life through the sharing of text, pictures and video. Xiaohongshu offers an overseas shopping tip app. Xiaohongshu started its business by helping overseas travelers to draft a shopping list before they hit the roads. But with the aggregation of more UGC contents, the service is transforming into a community for those who are passionate about fashion and shopping and want to know more about these fields even though they do not have overseas traveling plans on their schedules."
Xapo,https://www.crunchbase.com/organization/xapo,"Bitcoin, Financial Services","At Xapo, they believe that bitcoin’s ultimate success will be based on trust – whether individuals trust the digital currency’s stability and whether they trust the industry’s security. That’s why we’ve assembled a team of financial services and security experts to build an entirely new bitcoin storage experience. By offering two distinct products – an easy access wallet and a locked-down vault – they’re marrying the convenience bitcoin users want for everyday needs with the security they require for confident bitcoin saving. It’s the most secure, the reliable, and the most convenient. That’s something we can all trust in."
XebiaLabs,https://www.crunchbase.com/organization/xebialabs,"Delivery, Developer Tools, Enterprise Software, Information Technology, Software","XebiaLabs was founded in the early days of DevOps to help large companies accelerate their software releases with more reliability - no matter how diverse the infrastructure or how complex the processes. Since then its release orchestration and application delivery software has been adopted by the largest and most demanding companies in the world, providing them with the visibility, automation and control they need to deliver software faster and with less risk. Headquartered in the U.S., XebiaLabs has a world-wide network of sales offices and partners."
XPO Logistics,https://www.crunchbase.com/organization/xpo-logistics,"E-Commerce, Logistics, Shipping Broker","XPO Logistics, Inc. (NYSE: XPO) is one of the fastest growing providers of transportation logistics services in North America. Our company's three business units – freight brokerage, expedited transportation and freight forwarding – use relationships with more than 22,000 ground, sea and air carriers to serve over 8,500 customers in the manufacturing, industrial, retail, commercial, life sciences and government sectors. XPO is built to deliver constant growth in truck capacity, passionate service and technological innovation through 62 locations in the United States and Canada. XPO’s current revenue run rate represents only about 1% of the $50 billion addressable market. Our goal is to attain 10% market share over the next several years and rise through the ranks as a leading freight management provider. Our company was ranked as the 17th largest freight brokerage firm in North America in 2012, our expedited division is already a top five provider, and our freight forwarding division is building business through a revitalized network.*"
XOi Technologies,https://www.crunchbase.com/organization/xoeye-technologies,"Enterprise Software, Knowledge Management, Software, Video Conferencing, Virtual Workforce","XOi Technologies is a cloud-based mobile application that empowers field service companies to do more business with greener techs and fewer truck rolls. They change the way field service companies in the electrical, mechanical, and plumbing industries capture data, communicate with stakeholders, and service their customers.  XOi Technologies develops and designs wearable technology solutions for business. It also offers an industrial eyewear computing platform that comprised of both firmware and comprehensive suite of software applications. The company uses natural language processing, machine learning, workflow automation, and computer vision to streamline documentation of intelligent archive and resurface service content, service calls, real-time remote support, and improve customer transparency from the frontlines of field service.  XOi Technologies was founded in 2010 and is headquartered in Nashville, Tennessee, USA."
Xerox,https://www.crunchbase.com/organization/xerox,"Digital Media, Hardware, Information Technology, Printing, Software","Xerox is a document management technology and services enterprise.  They produce printing and publishing systems, digital presses, multifunction devices, laser and solid link network printers, copiers, and fax maches."
Xolo,https://www.crunchbase.com/organization/leapin-2,"Banking, FinTech, Software","Xolo is focusing on 40 million professionals globally who have chosen to run their business independently. Its aim is to reduce time spent on business administration to near zero by offering an incredibly simple online platform that merges company formation, banking, accounting, and other services. Xolo is the quickest and easiest way to launch and run a one-person freelancing business in Europe. Its largest markets are Germany, Spain, France, the UK, Ukraine, and Turkey. Xolo's typical customers are software developers, management consultants, designers, or other independent professionals."
X-Vax Technology,https://www.crunchbase.com/organization/x-vax-technology,Biotechnology,"X-Vax Technology is a biotechnology company focused on the preclinical and clinical development of vaccines against pathogens that cause mucosal infections such as herpes, influenza, tuberculosis and HIV, affecting hundreds of millions of people around the globe. At X-VAX we believe that inducing antibodies which mediate the killing of infected cells will provoke an entirely new and effective immune response – so that we can finally beat these pathogens."
XYZ Robotics,https://www.crunchbase.com/organization/xyz-robotics,"Artificial Intelligence, Logistics, Robotics, Supply Chain Management","XYZ Robotics develops AI-enabled robotic perception and manipulation technology for logistics and manufacturing automation. The company develops autonomous robotic solutions for put wall sorting and goods-to-person picking. Its robot sorts unorganized, random warehouse goods into groups of customer orders. The solution embodies its strength in deep learning and robotics."
X-Mode Social,https://www.crunchbase.com/organization/x-mode-social,"Location Based Services, Mobile, Mobile Advertising, Mobile Apps","X-Mode’s location data platform maps over 15% of the US population monthly. Our panel powers attribution and customer segment based solutions for over 25+ companies in  ad-tech, fin-tech, market research, and real estate. Our goal is to create a living map for your life. We are building the infrastructure of tomorrow by understanding the places people go today. With our network, the X-Mode platform gives us the power to create  innovative solutions and the ability to solve real world issues."
XM Cyber,https://www.crunchbase.com/organization/xm-cyber,"Cyber Security, Network Security, Security","XM Cyber provides the first fully automated APT Simulation Platform to continuously expose all attack vectors, above and below the surface, from breach point to any organizational critical asset. This continuous loop of automated red teaming is completed by ongoing and prioritized actionable remediation of organizations’ security gaps. In effect, HaXM by XM Cyber operates as an automated purple team that fluidly combines red team and blue team processes to ensure that organizations are always one step ahead of the hacker. XM Cyber was founded by top executives from the Israeli cyber intelligence community and employs an elite team of cyber offense and defense veterans with decades of real-world experience. The company has offices in the US, Israel and in Australia."
Xignite,https://www.crunchbase.com/organization/xignite,"Cloud Data Services, Cloud Infrastructure, Financial Services, FinTech, Information Services, Real Time","Named one of the ten coolest brands in banking, Xignite, Inc. provides cloud-based financial market data APIs to help emerging companies and established enterprises deliver real-time and reference market data to their digital assets, such as websites and apps. Xignite’s clients include more than 1,000 financial services, media and software companies from disruptive fintech firms, such as Betterment, FutureAdvisor, Motif Investing, Personal Capital, Robinhood, StockTwits, Wealthfront and Yodlee, to leading financial institutions, exchanges and market data vendors including, Nasdaq , SIX Financial Information and BMO. For more information, visit http://www.xignite.com or follow on Twitter @xignite."
Ximalaya FM,https://www.crunchbase.com/organization/ximalaya,"Audio, Internet Radio, Mobile","Ximalaya (喜马拉雅) is a service website that enables users to share voices and personal radio stations. It is a product of Beijing Nali Huiju Network Science and Technology Co., Ltd. It was founded in August, 2012 and is committed to the construction and operation of online audio sharing platform. It launched """"Ximalaya APP"""" in March 2013, and in just half a year, it achieved the target of ten million subscribers. In early May of 2014, the number of activated users of Himalaya exceeded 50 million, making Ximalaya the biggest online audio sharing platform in China. On May 22, 2014, Himalayan announced that it has successfully received an A series venture capital investment of 11.5 million US dollars. As of May 2014, the Ximalaya certified audio show creators were more than 6000. Its established columns were 240000 with audio volume reaching nearly 3 million and average daily new upload audio hitting more than 10000."
Xpressbees,https://www.crunchbase.com/organization/xpressbees,"E-Commerce, Internet, Logistics","Xpressbees is an e-commerce logistics specialist company, providing reliable and fast logistics solutions to its partners.  Our extensive network reach, strong technology platform and last mile management system makes us one of the most trusted e-commerce logistics solutions provider in India.  We successfully deliver 60,000+ shipments every day, and this number is scaling exponentially. Your search for reliable logistics and supply chain solutions provider ends with us."
XAIN,https://www.crunchbase.com/organization/xain-group,"Artificial Intelligence, Cyber Security, Infrastructure, Machine Learning, Privacy, SaaS","Their mission is to make AI scalable while also protecting data privacy, granting companies the ability to harness the full potential of AI in a safe and secure manner."
x.ai,https://www.crunchbase.com/organization/x-ai,"Artificial Intelligence, Internet, Machine Learning, Scheduling, Virtual Assistant","Founded in 2014, x.ai builds and maintains an artificial intelligence powered personal assistant that schedules meetings for the  business customers. Backed by its founders and located in New York City."
Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing","Xiaopeng Motors is a electric vehicle and technology company that designs and manufactures smart car. Xiaopeng Motors focuses on local needs and the consumer experience, while also integrating autonomous driving and internet electronic technologies, their vehicles are greater than the sum of their parts. Xpeng Motors is not only dedicated to serving every family with technology, but also to becoming a companion that truly understands you. Xpeng is equipped with experts from top companies in the field such as Tesla, Mercedes-Benz, Porsche, Ford, Mazda, GAC Motor, Alibaba Group, Tencent, Huawei, P&G and Mi, and more. Electric cars, the Internet, and cross-border brand-retail and internet integration have made Xpeng the main pioneer of this industry."
Xinchao Media,https://www.crunchbase.com/organization/xinchao-media,"Advertising Platforms, Brand Marketing, Digital Marketing, Information Technology","Xinchao Media targets household consumption by placing advertisements in elevators. It provides customers with more accurate and cheaper community media traffic with smart hardware and software. The company is currently covering 95 cities, nearly 610,000 elevators, covering an average of more than 100 million middle-class people. The trendy media elevator TVs are distributed in the elevators of the middle and high-end residential communities across the country. The TV screen is installed 1.5 meters away from the elevator floor. The sound is clear and the people are not disturbed so that the audience can watch it comfortably in the elevator and let the advertising information spread effectively. Xinchao Media was founded in 2007 and is headquartered in Chengdu, China."
xMatters,https://www.crunchbase.com/organization/xmatters,"Communications Infrastructure, Enterprise Software, IT Management","xMatters is an intelligent communications platform that connects insights from any system to the people that matter in order to accelerate essential business processes.  The platform automates, operationalizes and contextualizes communications within key DevOps processes, fundamentally altering the way business units work together. xMatters also supports enterprises with major incident and change management, alerting the right people on the right channels to time-sensitive events and problems like network outages, supply-chain disruptions, natural disasters and medical emergencies. Founded in 2000 and named the #1 Best Mid-Sized Workplace in Technology, xMatters is headquartered in San Ramon, CA, with global offices. For more information, please visit www.xmatters.com."
Xeneta,https://www.crunchbase.com/organization/xeneta,"Analytics, Enterprise Software, Logistics, SaaS, Shipping",Xeneta provides container freight pricing transparency with one platform in real time & on demand. Benchmark your ocean container freight rates with intelligent pricing data.  Xeneta's turnkey software platform holds 45+MN spot and long-term contracted rates for 160+K trade lanes. Stay on top of the shipping price market movements and make sure your rates are competitive.
