Organization Name,Organization Name URL,Categories,Full Description
Automattic,https://www.crunchbase.com/organization/automattic,"Blogging Platforms, Content, Internet, Web Design, Web Development","Automattic is the company behind WordPress.com and WordPress.com VIP, the cloud version of WordPress. Automattic hosts and supports all WordPress.com sites ensuring that there is continuous and strategic development of the software available to its users.  Automattic also supports WordPress.com VIP, a premium service designed for large-scale enterprises. WordPress.com VIP combines the benefits of WordPress.com and the ability to run custom code. In addition, WordPress.com VIP offers companies a robust CMS and 24/7 service. Automattic was founded in 2005 by Matt Mullenweg."
Ant Financial,https://www.crunchbase.com/organization/ant-financial,"Banking, E-Commerce, Financial Services, FinTech, Internet, Payments, Wealth Management","Ant Financial Services Group is an online payment services provider. Its platform, [Alipay](https://www.crunchbase.com/organization/alipay-a757), is the world's largest mobile and online payments platform. Founded by the Alibaba group, it allows individuals and businesses to execute payments online in a secure manner. Alipay's users are primarily buyers and sellers engaging in e-commerce transactions. With a registered user base of approximately 43.5 million as of June 2007, Alipay is an accepted online payment method for many online retail websites and service providers in China. Based on its huge customer based, has developed a complete online wallet which offers many services associated with payments while partnering with taxi-hailing services, cinema-theater booking services and so on. Alipay has partnered with some leading Chinese banks including Bank of China, China Construction Bank, Agricultural Bank of China, and the Industrial and Commercial Bank of China; it also has a valuable partnership with Visa. [PayPal](http://www.crunchbase.com/organization/paypal) remains its primary competitor."
Antler,https://www.crunchbase.com/organization/antler-be9c,"Financial Services, Venture Capital","Founded in Singapore in 2017, Antler is a global startup generator and early-stage VC that is building the next big wave of tech. With the mission to turn exceptional individuals into great founders, Antler aims to create thousands of companies globally.  They select the world’s most brilliant and determined people, help them find the right co-founder and connect them to a top tier network of advisors and experts worldwide. Antler breaks the barriers to entrepreneurship by providing funding from day one and building strong teams from the ground up, while enabling founders to rapidly launch and scale their ideas."
Aurora Cannabis,https://www.crunchbase.com/organization/aurora-cannabis,"Cannabis, Medical, Pharmaceutical","Aurora Cannabis is a medical marijuana producer.Aurora is committed to providing all of its patients with the highest standard of product quality, customer service, and affordable pricing."
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,"Apps, Casual Games, Developer Platform, Gaming, Mobile","Animoca Brands Corporation is the spinoff of part of the app portfolio of Animoca (Appionics Holdings Ltd.) and the consolidation of a number of partnerships and acquisitions. Animoca Brands is the resulting new entity with a mission to create and/or publish globally a broad portfolio of mobile games for smartphones and tablets. Animoca Brands is based in Hong Kong.   Multiple Animoca Brands titles leverage internationally recognized intellectual properties such as Garfield, Ben10, Doraemon, Astro Boy and Ultraman, all fully licensed by their respective IP owners. Additionally, Animoca Brands develops and publishes a broad range of original games, and also serves as global or regional publisher for select games developed by third parties. Most Animoca Brands games are free to play, generating revenue in two primary ways: when consumers pay for virtual items or services in the games; and when Animoca Brands sells in-game advertising across its network of hundreds of games."
Airbnb,https://www.crunchbase.com/organization/airbnb,"Hospitality, Marketplace, Travel, Travel Accommodations","Airbnb is a community marketplace for people to list, discover and book unique spaces around the world through mobile phones or the internet. Airbnb connects travelers seeking authentic experiences with hosts offering unique, inspiring spaces around the world. Airbnb is a trusted online marketplace for people to list, discover, and book unique accommodations and experiences around the world. Unlock local experiences and travel through the eyes of a local. Whether the available space is a castle for a night, a sailboat for a week, or an apartment for a month, Airbnb is the easiest way for people to showcase these distinctive spaces to an audience of millions. By facilitating bookings and financial transactions, Airbnb makes the process of listing or booking a space effortless and efficient. With 4,500,000 listings in over 65,000 cities in 191 countries, Airbnb offers the widest variety of unique spaces for everyone, at any price point around the globe.  Airbnb was founded in August 2008 Brian Chesky and Joe Gebbia, and is currently headquartered in [San Francisco, California."
Apple,https://www.crunchbase.com/organization/apple,"Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Apple is a multinational corporation that designs, manufactures, and markets mobile communication and media devices, personal computers, portable digital music players, and sells a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. Apple provides many products and services, including iPhone; iPad; iPod; Mac; Apple TV; a portfolio of consumer and professional software applications; the iOS and OS X operating systems; iCloud; and accessories, service, and support offerings.  It sells its products worldwide through its retail stores, online stores, direct sales force and third-party cellular network carriers, wholesalers, retailers, and value-added resellers to the consumer and also sells third-party iPhone, iPad, Mac and iPod compatible products, including application software and accessories through its online and retail stores. Introduced in 1984, the Macintosh was the first widely sold personal computer with a graphical user interface (GUI). That feature and others such as an improved floppy drive design and a low-cost hard drive that made data retrieval faster helped Apple cultivate a reputation for innovation. Apple was named as the most admired company in the United States in 2008 and in the world from 2008 to 2012 by the Fortune magazine. The company was founded by Steven Paul Jobs, Steve Wozniak, and Ronald Gerald Wayne on April 1, 1976, and is headquartered in Cupertino, California."
Accenture,https://www.crunchbase.com/organization/accenture,"Construction, Consulting, Information Technology, Outsourcing","Accenture is a global management consulting, technology services and outsourcing company, with approximately 204,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the world's most successful companies, Accenture collaborates with clients to help them become high-performance businesses and governments."
Atom Bank,https://www.crunchbase.com/organization/atom-bank,"Banking, Financial Services, FinTech, Mobile Apps","Atom Bank is a mobile banking application that offers a range of personal and business banking products. Users can log in using face and voice recognition and receive support from a 24/7 customer service team. The application, available on iPad and iPhone devices, was launched in March 2014 and its operations are based in Durham, the United Kingdom."
AngelList,https://www.crunchbase.com/organization/angellist,"Angel Investment, Finance, Funding Platform, Internet","AngelList is a platform for startups, angel investors, and job-seekers looking to work at startups. AngelList's goal is also to democratize the investment process. In 2014, the company raised $104 million online. It has also funded 243 startups. In 2015, they've made over 548K introductions between job-seekers and companies. Founded by Babak Nivi and Naval Ravikant in 2010, AngelList is headquartered in San Francisco, California, United States."
